"age";"job";"marital";"education";"default";"housing";"loan";"contact";"month";"day_of_week";"duration";"campaign";"pdays";"previous";"poutcome";"emp.var.rate";"cons.price.idx";"cons.conf.idx";"euribor3m";"nr.employed";"y"
35;"technician";"married";"university.degree";"no";"unknown";"unknown";"cellular";"aug";"thu";1579;2;999;0;"nonexistent";1.4;93.444;-36.1;4.964;5228.1;"yes"
40;"blue-collar";"married";"basic.9y";"no";"yes";"no";"telephone";"may";"tue";381;2;999;0;"nonexistent";1.1;93.994;-36.4;4.856;5191;"no"
47;"technician";"married";"professional.course";"no";"no";"no";"cellular";"nov";"thu";93;3;999;0;"nonexistent";-0.1;93.2;-42;4.076;5195.8;"no"
50;"technician";"married";"unknown";"no";"yes";"yes";"cellular";"may";"tue";400;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.344;5099.1;"yes"
40;"blue-collar";"married";"basic.4y";"unknown";"unknown";"unknown";"cellular";"jul";"tue";192;2;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
23;"blue-collar";"single";"unknown";"no";"no";"no";"cellular";"may";"fri";68;2;999;1;"failure";-1.8;92.893;-46.2;1.25;5099.1;"no"
32;"services";"single";"unknown";"unknown";"yes";"no";"cellular";"jul";"tue";881;1;999;0;"nonexistent";1.4;93.918;-42.7;4.961;5228.1;"yes"
36;"management";"married";"university.degree";"no";"no";"no";"cellular";"apr";"wed";353;2;999;0;"nonexistent";-1.8;93.075;-47.1;1.415;5099.1;"yes"
58;"blue-collar";"married";"basic.4y";"no";"yes";"no";"telephone";"jun";"fri";165;2;999;0;"nonexistent";1.4;94.465;-41.8;4.959;5228.1;"no"
30;"self-employed";"single";"university.degree";"no";"no";"no";"cellular";"jun";"tue";147;3;999;1;"failure";-2.9;92.963;-40.8;1.262;5076.2;"no"
34;"technician";"married";"professional.course";"unknown";"yes";"no";"cellular";"jul";"wed";75;5;999;0;"nonexistent";1.4;93.918;-42.7;4.963;5228.1;"no"
41;"management";"married";"unknown";"unknown";"no";"yes";"telephone";"jun";"thu";636;1;999;0;"nonexistent";1.4;94.465;-41.8;4.866;5228.1;"yes"
54;"unemployed";"married";"high.school";"unknown";"no";"no";"cellular";"jul";"fri";203;1;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
47;"blue-collar";"married";"basic.4y";"no";"yes";"no";"cellular";"may";"wed";569;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.334;5099.1;"no"
36;"technician";"single";"university.degree";"no";"yes";"yes";"cellular";"jul";"mon";305;4;3;1;"success";-1.7;94.215;-40.3;0.827;4991.6;"no"
42;"services";"married";"basic.6y";"no";"no";"no";"cellular";"nov";"thu";290;3;999;0;"nonexistent";-0.1;93.2;-42;4.076;5195.8;"no"
28;"services";"single";"high.school";"no";"no";"no";"cellular";"may";"wed";649;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.281;5099.1;"yes"
47;"technician";"single";"professional.course";"no";"yes";"no";"cellular";"aug";"thu";396;3;999;0;"nonexistent";1.4;93.444;-36.1;4.963;5228.1;"no"
45;"management";"married";"university.degree";"no";"no";"no";"cellular";"nov";"tue";401;2;999;0;"nonexistent";-0.1;93.2;-42;4.153;5195.8;"no"
35;"services";"single";"basic.4y";"no";"no";"no";"telephone";"jun";"mon";651;1;999;0;"nonexistent";1.4;94.465;-41.8;4.865;5228.1;"no"
40;"blue-collar";"single";"basic.9y";"unknown";"yes";"no";"cellular";"jul";"mon";824;5;999;0;"nonexistent";1.4;93.918;-42.7;4.96;5228.1;"no"
42;"self-employed";"married";"university.degree";"no";"no";"no";"cellular";"jul";"wed";673;1;999;0;"nonexistent";1.4;93.918;-42.7;4.963;5228.1;"no"
39;"admin.";"single";"university.degree";"no";"yes";"yes";"cellular";"aug";"thu";48;8;999;0;"nonexistent";1.4;93.444;-36.1;4.962;5228.1;"no"
47;"services";"married";"high.school";"no";"unknown";"unknown";"telephone";"jun";"wed";347;4;999;0;"nonexistent";1.4;94.465;-41.8;4.962;5228.1;"no"
36;"housemaid";"married";"basic.4y";"no";"yes";"no";"telephone";"may";"wed";128;1;999;0;"nonexistent";1.1;93.994;-36.4;4.856;5191;"no"
45;"admin.";"married";"high.school";"no";"no";"no";"telephone";"jun";"mon";290;1;999;0;"nonexistent";1.4;94.465;-41.8;4.961;5228.1;"no"
36;"services";"married";"high.school";"no";"no";"no";"telephone";"may";"tue";223;1;999;0;"nonexistent";1.1;93.994;-36.4;4.857;5191;"no"
35;"blue-collar";"married";"basic.9y";"no";"no";"yes";"telephone";"jun";"mon";782;2;999;0;"nonexistent";1.4;94.465;-41.8;4.961;5228.1;"no"
22;"student";"single";"basic.6y";"no";"yes";"no";"cellular";"oct";"tue";88;1;999;0;"nonexistent";-3.4;92.431;-26.9;0.728;5017.5;"no"
28;"technician";"married";"professional.course";"no";"no";"no";"cellular";"may";"wed";550;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.334;5099.1;"yes"
29;"self-employed";"single";"university.degree";"no";"yes";"no";"cellular";"apr";"mon";128;1;999;0;"nonexistent";-1.8;93.075;-47.1;1.405;5099.1;"no"
29;"admin.";"single";"high.school";"no";"yes";"no";"telephone";"may";"wed";511;2;999;0;"nonexistent";1.1;93.994;-36.4;4.856;5191;"no"
34;"services";"married";"high.school";"no";"no";"no";"cellular";"may";"tue";542;4;999;1;"failure";-1.8;92.893;-46.2;1.344;5099.1;"no"
27;"blue-collar";"married";"university.degree";"no";"no";"yes";"cellular";"may";"wed";131;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.281;5099.1;"no"
27;"self-employed";"single";"university.degree";"no";"no";"no";"cellular";"may";"thu";185;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"blue-collar";"married";"basic.9y";"no";"yes";"yes";"telephone";"may";"wed";97;2;999;0;"nonexistent";1.1;93.994;-36.4;4.856;5191;"no"
54;"self-employed";"married";"professional.course";"no";"no";"no";"cellular";"aug";"fri";309;1;999;0;"nonexistent";1.4;93.444;-36.1;4.966;5228.1;"no"
53;"technician";"married";"university.degree";"unknown";"yes";"yes";"cellular";"aug";"mon";405;11;999;0;"nonexistent";1.4;93.444;-36.1;4.963;5228.1;"no"
28;"admin.";"single";"high.school";"no";"no";"no";"telephone";"jul";"thu";535;2;999;0;"nonexistent";1.4;93.918;-42.7;4.963;5228.1;"no"
36;"blue-collar";"single";"basic.9y";"no";"no";"no";"cellular";"jul";"mon";234;2;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
59;"blue-collar";"divorced";"basic.4y";"unknown";"no";"yes";"cellular";"jul";"mon";84;6;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
35;"services";"divorced";"basic.9y";"no";"no";"no";"cellular";"apr";"wed";188;1;999;0;"nonexistent";-1.8;93.075;-47.1;1.445;5099.1;"no"
61;"management";"married";"university.degree";"no";"yes";"no";"cellular";"nov";"tue";147;1;3;2;"success";-3.4;92.649;-30.1;0.715;5017.5;"yes"
24;"blue-collar";"single";"basic.9y";"no";"yes";"no";"cellular";"jul";"mon";471;2;999;0;"nonexistent";1.4;93.918;-42.7;4.96;5228.1;"no"
41;"technician";"married";"professional.course";"no";"yes";"no";"telephone";"jun";"wed";47;3;999;0;"nonexistent";1.4;94.465;-41.8;4.959;5228.1;"no"
32;"admin.";"single";"university.degree";"no";"yes";"no";"cellular";"apr";"mon";237;2;999;0;"nonexistent";-1.8;93.075;-47.1;1.405;5099.1;"no"
53;"retired";"married";"high.school";"no";"no";"no";"cellular";"apr";"wed";349;1;999;0;"nonexistent";-1.8;93.075;-47.1;1.415;5099.1;"no"
39;"housemaid";"married";"basic.4y";"no";"yes";"yes";"telephone";"may";"fri";83;3;999;0;"nonexistent";1.1;93.994;-36.4;4.855;5191;"no"
41;"services";"married";"high.school";"no";"yes";"yes";"cellular";"jul";"mon";95;2;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
51;"blue-collar";"married";"basic.4y";"no";"yes";"yes";"telephone";"dec";"mon";170;1;999;0;"nonexistent";-0.2;92.756;-45.9;3.488;5176.3;"no"
29;"self-employed";"single";"university.degree";"no";"yes";"no";"cellular";"sep";"tue";445;2;999;0;"nonexistent";-3.4;92.379;-29.8;0.788;5017.5;"yes"
29;"admin.";"single";"high.school";"no";"yes";"no";"cellular";"jul";"tue";259;1;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
44;"admin.";"married";"professional.course";"no";"no";"no";"cellular";"nov";"mon";200;1;999;1;"failure";-0.1;93.2;-42;4.191;5195.8;"no"
41;"blue-collar";"married";"basic.9y";"no";"no";"no";"telephone";"may";"tue";73;2;999;0;"nonexistent";1.1;93.994;-36.4;4.857;5191;"no"
38;"blue-collar";"single";"unknown";"unknown";"no";"no";"cellular";"may";"fri";936;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.313;5099.1;"no"
51;"entrepreneur";"married";"basic.9y";"no";"no";"yes";"telephone";"may";"wed";68;1;999;0;"nonexistent";1.1;93.994;-36.4;4.857;5191;"no"
29;"admin.";"single";"university.degree";"no";"yes";"yes";"telephone";"jun";"wed";124;4;999;0;"nonexistent";1.4;94.465;-41.8;4.959;5228.1;"no"
31;"blue-collar";"married";"basic.9y";"unknown";"yes";"yes";"cellular";"jul";"tue";656;3;999;0;"nonexistent";1.4;93.918;-42.7;4.961;5228.1;"no"
43;"services";"married";"basic.6y";"no";"no";"no";"cellular";"sep";"tue";115;1;999;0;"nonexistent";-3.4;92.379;-29.8;0.75;5017.5;"no"
28;"blue-collar";"single";"basic.9y";"no";"no";"no";"cellular";"may";"fri";137;3;999;1;"failure";-1.8;92.893;-46.2;1.313;5099.1;"no"
31;"admin.";"married";"university.degree";"no";"no";"no";"cellular";"may";"tue";176;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"technician";"single";"university.degree";"no";"no";"no";"cellular";"may";"mon";284;4;999;0;"nonexistent";-1.8;92.893;-46.2;1.299;5099.1;"no"
38;"blue-collar";"married";"basic.4y";"unknown";"yes";"no";"telephone";"may";"tue";118;1;999;0;"nonexistent";1.1;93.994;-36.4;4.857;5191;"no"
49;"technician";"married";"high.school";"no";"yes";"no";"cellular";"may";"mon";143;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.354;5099.1;"no"
37;"entrepreneur";"married";"university.degree";"no";"yes";"no";"cellular";"nov";"mon";96;1;999;0;"nonexistent";-0.1;93.2;-42;4.191;5195.8;"no"
48;"blue-collar";"married";"basic.9y";"no";"no";"no";"telephone";"jun";"wed";100;1;999;0;"nonexistent";1.4;94.465;-41.8;4.959;5228.1;"no"
46;"management";"married";"unknown";"no";"yes";"no";"cellular";"nov";"thu";121;1;999;0;"nonexistent";-0.1;93.2;-42;4.076;5195.8;"no"
34;"blue-collar";"married";"professional.course";"no";"yes";"no";"cellular";"nov";"tue";135;3;999;0;"nonexistent";-0.1;93.2;-42;4.153;5195.8;"no"
44;"blue-collar";"married";"basic.9y";"no";"no";"no";"telephone";"jul";"mon";214;3;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
60;"technician";"married";"professional.course";"unknown";"yes";"no";"telephone";"jun";"mon";64;1;999;0;"nonexistent";1.4;94.465;-41.8;4.961;5228.1;"no"
40;"housemaid";"divorced";"high.school";"unknown";"no";"yes";"telephone";"jul";"thu";265;2;999;0;"nonexistent";1.4;93.918;-42.7;4.958;5228.1;"no"
38;"unknown";"married";"unknown";"unknown";"yes";"no";"telephone";"jun";"fri";13;2;999;0;"nonexistent";1.4;94.465;-41.8;4.959;5228.1;"no"
49;"blue-collar";"married";"basic.9y";"no";"no";"no";"cellular";"may";"thu";324;2;999;1;"failure";-1.8;92.893;-46.2;1.327;5099.1;"no"
40;"technician";"married";"university.degree";"no";"no";"no";"telephone";"may";"fri";417;1;999;0;"nonexistent";1.1;93.994;-36.4;4.864;5191;"no"
35;"blue-collar";"married";"high.school";"no";"yes";"no";"telephone";"may";"mon";193;1;999;0;"nonexistent";1.1;93.994;-36.4;4.857;5191;"no"
27;"services";"single";"high.school";"no";"yes";"yes";"cellular";"may";"mon";665;3;999;1;"failure";-1.8;92.893;-46.2;1.244;5099.1;"no"
40;"self-employed";"married";"unknown";"unknown";"no";"no";"telephone";"jul";"mon";1025;1;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
42;"technician";"divorced";"high.school";"unknown";"yes";"no";"cellular";"aug";"thu";140;7;999;0;"nonexistent";1.4;93.444;-36.1;4.963;5228.1;"no"
45;"admin.";"married";"university.degree";"no";"yes";"no";"cellular";"may";"mon";254;4;999;0;"nonexistent";-1.8;92.893;-46.2;1.354;5099.1;"no"
23;"admin.";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";258;1;10;1;"success";-1.8;92.893;-46.2;1.266;5099.1;"no"
52;"services";"married";"high.school";"unknown";"yes";"no";"cellular";"aug";"mon";99;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
31;"self-employed";"single";"high.school";"no";"no";"yes";"cellular";"jul";"tue";85;2;999;0;"nonexistent";1.4;93.918;-42.7;4.961;5228.1;"no"
48;"unemployed";"married";"professional.course";"no";"yes";"yes";"cellular";"may";"mon";10;4;999;1;"failure";-1.8;92.893;-46.2;1.354;5099.1;"no"
39;"admin.";"married";"university.degree";"unknown";"no";"no";"cellular";"jul";"thu";67;3;999;0;"nonexistent";1.4;93.918;-42.7;4.968;5228.1;"no"
51;"admin.";"divorced";"university.degree";"no";"no";"no";"cellular";"may";"tue";91;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
43;"services";"married";"high.school";"no";"no";"no";"cellular";"nov";"mon";118;1;999;0;"nonexistent";-0.1;93.2;-42;4.191;5195.8;"no"
35;"blue-collar";"married";"basic.4y";"unknown";"yes";"no";"telephone";"jun";"mon";184;5;999;0;"nonexistent";1.4;94.465;-41.8;4.961;5228.1;"no"
35;"technician";"married";"professional.course";"no";"yes";"no";"telephone";"may";"tue";278;1;999;0;"nonexistent";1.1;93.994;-36.4;4.857;5191;"no"
50;"admin.";"married";"university.degree";"no";"no";"no";"telephone";"jul";"mon";1076;17;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"yes"
34;"housemaid";"married";"university.degree";"no";"no";"no";"cellular";"aug";"thu";485;3;4;1;"success";-2.9;92.201;-31.4;0.873;5076.2;"no"
27;"admin.";"single";"university.degree";"no";"yes";"yes";"cellular";"may";"mon";179;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.264;5099.1;"no"
30;"technician";"married";"professional.course";"no";"yes";"yes";"cellular";"mar";"tue";147;1;999;0;"nonexistent";-1.8;93.369;-34.8;0.655;5008.7;"no"
30;"blue-collar";"married";"basic.6y";"no";"yes";"no";"telephone";"may";"mon";257;3;999;0;"nonexistent";1.1;93.994;-36.4;4.857;5191;"no"
41;"admin.";"married";"university.degree";"unknown";"yes";"no";"telephone";"may";"fri";288;3;999;2;"failure";-1.8;92.893;-46.2;1.313;5099.1;"no"
37;"technician";"married";"professional.course";"unknown";"no";"no";"telephone";"may";"wed";135;2;999;0;"nonexistent";1.1;93.994;-36.4;4.858;5191;"no"
23;"blue-collar";"single";"basic.9y";"no";"yes";"no";"cellular";"may";"mon";672;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.299;5099.1;"yes"
29;"technician";"single";"high.school";"no";"no";"no";"cellular";"jul";"thu";91;1;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
31;"services";"single";"high.school";"no";"yes";"no";"cellular";"may";"mon";206;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.299;5099.1;"no"
22;"student";"single";"high.school";"no";"yes";"no";"cellular";"oct";"tue";210;1;6;1;"success";-3.4;92.431;-26.9;0.742;5017.5;"yes"
40;"blue-collar";"married";"basic.4y";"no";"no";"no";"telephone";"jun";"thu";354;7;999;0;"nonexistent";1.4;94.465;-41.8;4.961;5228.1;"no"
29;"technician";"married";"university.degree";"no";"no";"yes";"telephone";"may";"thu";194;2;999;0;"nonexistent";1.1;93.994;-36.4;4.86;5191;"no"
29;"technician";"married";"high.school";"no";"no";"no";"telephone";"aug";"mon";133;5;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
46;"management";"married";"high.school";"unknown";"no";"no";"cellular";"may";"tue";692;4;999;1;"failure";-1.8;92.893;-46.2;1.291;5099.1;"no"
34;"services";"divorced";"basic.6y";"unknown";"no";"no";"cellular";"nov";"wed";254;1;999;0;"nonexistent";-0.1;93.2;-42;4.12;5195.8;"no"
43;"admin.";"divorced";"high.school";"no";"unknown";"unknown";"cellular";"apr";"thu";105;1;999;1;"failure";-1.8;93.075;-47.1;1.435;5099.1;"no"
37;"services";"married";"basic.6y";"no";"no";"no";"telephone";"may";"wed";155;4;999;0;"nonexistent";1.1;93.994;-36.4;4.858;5191;"no"
26;"admin.";"single";"university.degree";"no";"yes";"no";"cellular";"may";"mon";410;3;999;1;"failure";-1.8;92.893;-46.2;1.244;5099.1;"no"
34;"technician";"single";"university.degree";"no";"no";"no";"cellular";"aug";"wed";62;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
50;"management";"divorced";"university.degree";"no";"no";"no";"telephone";"jul";"mon";130;7;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
45;"blue-collar";"divorced";"basic.4y";"unknown";"yes";"no";"cellular";"jul";"fri";120;1;999;0;"nonexistent";1.4;93.918;-42.7;4.957;5228.1;"no"
30;"blue-collar";"married";"basic.4y";"no";"yes";"no";"cellular";"nov";"wed";193;5;999;0;"nonexistent";-0.1;93.2;-42;4.12;5195.8;"no"
70;"retired";"married";"basic.4y";"no";"yes";"no";"cellular";"oct";"mon";131;1;999;0;"nonexistent";-3.4;92.431;-26.9;0.739;5017.5;"yes"
50;"entrepreneur";"married";"unknown";"unknown";"yes";"no";"cellular";"jul";"tue";244;3;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
30;"services";"married";"high.school";"unknown";"no";"yes";"cellular";"nov";"thu";178;4;999;0;"nonexistent";-0.1;93.2;-42;4.076;5195.8;"no"
36;"admin.";"single";"university.degree";"no";"no";"no";"cellular";"may";"tue";69;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.291;5099.1;"no"
53;"self-employed";"married";"university.degree";"no";"no";"yes";"telephone";"may";"tue";202;1;999;0;"nonexistent";1.1;93.994;-36.4;4.857;5191;"no"
29;"entrepreneur";"married";"basic.6y";"no";"yes";"no";"cellular";"may";"tue";383;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.344;5099.1;"no"
33;"services";"married";"high.school";"no";"yes";"no";"cellular";"may";"fri";521;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.25;5099.1;"no"
26;"blue-collar";"single";"professional.course";"no";"yes";"no";"cellular";"jun";"thu";77;2;999;0;"nonexistent";-2.9;92.963;-40.8;1.26;5076.2;"no"
34;"admin.";"single";"university.degree";"no";"yes";"no";"cellular";"mar";"tue";568;1;6;3;"success";-1.8;93.369;-34.8;0.652;5008.7;"yes"
46;"admin.";"married";"university.degree";"no";"yes";"no";"cellular";"apr";"mon";75;1;999;0;"nonexistent";-1.8;93.075;-47.1;1.405;5099.1;"no"
27;"admin.";"married";"high.school";"no";"yes";"no";"telephone";"aug";"mon";36;1;999;0;"nonexistent";-1.7;94.027;-38.3;0.888;4991.6;"no"
30;"admin.";"married";"university.degree";"no";"yes";"no";"cellular";"jul";"fri";799;2;999;0;"nonexistent";1.4;93.918;-42.7;4.957;5228.1;"yes"
57;"blue-collar";"married";"basic.4y";"no";"yes";"no";"cellular";"jul";"thu";953;1;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
38;"technician";"single";"university.degree";"unknown";"yes";"no";"cellular";"aug";"fri";239;2;999;0;"nonexistent";1.4;93.444;-36.1;4.963;5228.1;"no"
38;"admin.";"married";"university.degree";"no";"yes";"no";"cellular";"aug";"tue";427;12;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
39;"blue-collar";"married";"basic.9y";"no";"yes";"no";"cellular";"may";"tue";253;1;12;1;"success";-1.8;92.893;-46.2;1.344;5099.1;"no"
54;"blue-collar";"married";"basic.9y";"unknown";"no";"no";"cellular";"aug";"tue";112;3;999;0;"nonexistent";1.4;93.444;-36.1;4.966;5228.1;"no"
57;"retired";"married";"basic.9y";"no";"yes";"yes";"cellular";"aug";"tue";1223;4;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"yes"
33;"management";"single";"university.degree";"no";"yes";"yes";"telephone";"may";"fri";274;2;999;0;"nonexistent";1.1;93.994;-36.4;4.855;5191;"no"
27;"services";"single";"high.school";"no";"unknown";"unknown";"cellular";"jul";"fri";179;1;999;1;"failure";-1.7;94.215;-40.3;0.79;4991.6;"yes"
33;"blue-collar";"single";"basic.9y";"unknown";"no";"no";"telephone";"may";"wed";159;3;999;0;"nonexistent";1.1;93.994;-36.4;4.859;5191;"no"
53;"retired";"married";"high.school";"unknown";"yes";"no";"telephone";"jun";"fri";211;2;999;0;"nonexistent";1.4;94.465;-41.8;4.959;5228.1;"no"
52;"admin.";"married";"professional.course";"no";"yes";"yes";"cellular";"jul";"tue";287;2;6;1;"success";-1.7;94.215;-40.3;0.893;4991.6;"yes"
56;"admin.";"married";"high.school";"unknown";"no";"no";"cellular";"jul";"wed";120;4;999;0;"nonexistent";1.4;93.918;-42.7;4.957;5228.1;"no"
34;"admin.";"single";"university.degree";"no";"no";"yes";"cellular";"may";"mon";14;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.299;5099.1;"no"
38;"technician";"single";"professional.course";"no";"no";"no";"telephone";"may";"fri";214;2;999;0;"nonexistent";1.1;93.994;-36.4;4.855;5191;"no"
52;"technician";"married";"high.school";"no";"unknown";"unknown";"telephone";"jun";"mon";24;1;999;0;"nonexistent";1.4;94.465;-41.8;4.865;5228.1;"no"
50;"services";"married";"professional.course";"unknown";"yes";"no";"telephone";"may";"fri";211;2;999;0;"nonexistent";1.1;93.994;-36.4;4.855;5191;"no"
47;"admin.";"married";"basic.6y";"no";"yes";"no";"cellular";"jul";"fri";426;1;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
34;"blue-collar";"married";"professional.course";"no";"yes";"yes";"telephone";"jun";"mon";190;1;999;0;"nonexistent";1.4;94.465;-41.8;4.961;5228.1;"no"
54;"admin.";"divorced";"university.degree";"no";"no";"no";"cellular";"aug";"fri";86;2;999;0;"nonexistent";1.4;93.444;-36.1;4.964;5228.1;"no"
35;"blue-collar";"married";"basic.6y";"no";"yes";"yes";"telephone";"jun";"mon";64;1;999;0;"nonexistent";1.4;94.465;-41.8;4.865;5228.1;"no"
39;"services";"married";"unknown";"unknown";"no";"no";"cellular";"jul";"wed";100;5;999;0;"nonexistent";1.4;93.918;-42.7;4.963;5228.1;"no"
54;"management";"married";"university.degree";"no";"yes";"no";"cellular";"nov";"thu";68;2;999;0;"nonexistent";-0.1;93.2;-42;4.076;5195.8;"no"
54;"blue-collar";"married";"unknown";"no";"no";"no";"cellular";"aug";"mon";143;1;999;0;"nonexistent";1.4;93.444;-36.1;4.97;5228.1;"no"
26;"admin.";"single";"high.school";"no";"no";"no";"cellular";"jul";"mon";226;4;999;0;"nonexistent";1.4;93.918;-42.7;4.962;5228.1;"no"
33;"unemployed";"single";"university.degree";"no";"no";"no";"cellular";"aug";"thu";126;2;999;0;"nonexistent";1.4;93.444;-36.1;4.962;5228.1;"no"
38;"technician";"married";"high.school";"no";"no";"no";"cellular";"aug";"tue";197;2;999;0;"nonexistent";1.4;93.444;-36.1;4.966;5228.1;"no"
